,Products_with_common_ingredient,The_common_ingredients
55,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'cetearyl alcohol', 'bht', 'sodium ascorbyl phosphate', 'aqua', 'glycerin', 'trisodium edta', 'tocopheryl acetate', 'phenoxyethanol', 'parfum'}"
56,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'bht', 'ricinus communis seed oil', 'aqua', 'glycerin', 'isopropyl palmitate'}"
57,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'glyceryl stearate', 'phenoxyethanol', 'glycerin', 'tocopheryl acetate'}"
58,"('NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2 | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'bht', 'persea gratissima oil', 'aqua', 'trisodium edta', 'parfum'}"
59,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria')","{'geraniol', 'parfum', 'citronellol'}"
60,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria')","{'geraniol', 'alpha-isomethyl ionone', 'linalool', 'limonene', 'citronellol', 'parfum'}"
61,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria')","{'bht', 'geraniol', 'alpha-isomethyl ionone', 'trisodium edta', 'linalool', 'citronellol', 'benzyl alcohol'}"
62,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria')","{'trisodium edta', 'persea gratissima oil', 'parfum', 'bht'}"
63,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria')","{'persea gratissima oil', 'alpha-isomethyl ionone', 'aluminum chlorohydrate', 'linalool', 'benzyl alcohol', 'parfum'}"
64,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Soft Cream 200ml | Jumia Nigeria')","{'benzyl salicylate', 'alpha-isomethyl ionone', 'linalool', 'limonene', 'citronellol', 'benzyl alcohol', 'parfum'}"
65,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria')","{'geraniol', 'alpha-isomethyl ionone', 'linalool', 'water', 'limonene'}"
66,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria')","{'geraniol', 'alpha-isomethyl ionone', 'aluminum chlorohydrate', 'aluminum sesquichlorohydrate', 'linalool', 'magnesium aluminum silicate', 'limonene', 'citronellol'}"
67,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'bht', 'persea gratissima oil', 'linalool', 'citronellol', 'limonene'}"
68,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'bht', 'geraniol', 'alpha-isomethyl ionone', 'trisodium edta', 'linalool', 'citronellol', 'benzyl alcohol', 'parfum'}"
69,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'geraniol', 'water'}"
70,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'bht', 'benzyl salicylate', 'steareth-21', 'ppg-15 stearyl ether', 'persea gratissima oil', 'alpha-isomethyl ionone', 'geraniol', 'aluminum chlorohydrate', 'trisodium edta', 'aluminum sesquichlorohydrate', 'linalool', 'steareth-2', 'magnesium aluminum silicate', 'limonene', 'citronellol', 'benzyl alcohol', 'parfum'}"
71,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria')","{'geraniol', 'aqua', 'alcohol denat', 'citronellol', 'parfum', 'coumarin'}"
72,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria')","{'cetearyl alcohol', 'cyclomethicone', 'geraniol', 'glycerin', 'alcohol denat', 'tapioca starch', 'tocopheryl acetate', 'citronellol'}"
73,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria')","{'cetearyl alcohol', 'aqua', 'glycerin', 'tocopheryl acetate', 'parfum'}"
74,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria')","{'parfum', 'cyclomethicone'}"
75,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Soft Cream 200ml | Jumia Nigeria')","{'aqua', 'glycerin', 'alcohol denat', 'tocopheryl acetate', 'citronellol', 'parfum'}"
